region,water_body,site_name,standard_station_name,site_code,enhancement_latitude_est,enhancement_longitude_est,site_type,enhancement_type,enhancement_years,population_assessment_years,recruit_monitoring_years,recruit_partners,enhancement_partners,assessment_partners,notes,enhancement_questions,assessment_questions,recruitment_questions
Admiralty Inlet,Port Gamble Bay,Port Gamble Bay,"portgamble_kitsap, portgamble_hilton, portgamble_shorn, PGSK_tribe","PGK, PGH, PGS, PGT",47.826657,-122.57586,both,"Bulk shell, Seeded cultch, Singles","2014, 2015, 2016, 2022","2014, 2015, 2016, 2021","2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",,,,PGK longest running recruitment station,,What is the site name? How to interpret areas with different enhancement methods?,
Hood Canal,Quilcene Bay,Quilcene Bay,"dnr_north, dnr_south, fishermans_pt, wdfw_ne, wdfw_rec, quilcenebay_head","QB1, QB2, QB3, QB4, QB5, QBH",47.793073,-122.859466,both,"Bulk shell, Singles","2016, 2017","2019, 2020, 2021","2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",,,,QB3 (2018-2025) & QBH (2022-2025) only active recruitment stations,,"2020 data?? Across years, interpreting site?",
North Puget Sound,Samish Bay,Samish Bay,"samish_bay, samish_bay_middle, jerrys_bar","SB, SB2, SB3",,,both,"Seeded cultch, Singles","2022, 2023","2022, 2023, 2024","2021, 2022, 2023, 2024, 2025",,"Taylor Shellfish, Amazon funder",,,,Demographic data vs single species assessments? can use singlelive ==  oly counts between data types?,
Central Puget Sound,Liberty Bay,Scandia,,,,,enhancement,Bulk shell,2005-2011,2025,,,,,,,,no recruitment station here?
Central Puget Sound,Dyes Inlet,Silverdale,silverdale,SD,,,both,Bulk shell,"2023, 2024","2022, 2024, 2025","2019, 2020, 2022, 2023, 2024, 2025",Suquamish Tribe,,,,,,
Central Puget Sound,Sinclair Inlet,Sinclair Inlet,sinclair_inlet,SI,47.5451209116587,-122.65999923304,both,Bulk shell,2019,"2019, 2020, 2022, 2025","2015, 2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025",,,,,,,
Hood Canal,Skokomish,Annas Bay,skokomish_tideflats,SKO1,,,both,Seeded Cultch,2020,,"2021, 2023, 2024, 2025",Skokomish,,,,Annas bay vs Skok flats?,What is this data?,SKO2?
Central Puget Sound,Smith Cove,Smith Cove,,,,,enhancement,Seeded Cultch,"2018, 2021","2019, 2022, 2023",,,,,,,Live on shell = demographic data ? something different? ,no recruitment station here?
North Puget Sound,Fidalgo Bay,Weaverling Spit,weaverling_spit,FBW,48.482608,-122.58649,,,,2020,"2019, 2020, 2023, 2024, 2025",Skagit MRC,,,,Which years?,,
North Puget Sound,Similk and Skagit Bays,Kiket and Lone Tree Lagoons,,,48.415908,-122.56095,enhancement,Seeded Cultch,"2012, 2013, 2015, 2016, 2017",,,,,,,,,
Admiralty Inlet,Sequim Bay,Sequim Bay,,,48.043471,-123.015864,enhancement,"Seeded Cultch, Singles","2012, 2015, 2016, 2017, 2019",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Places I've looked for data so far:,,,,,
,,,,,,,,,,,,,Drive folder: Oyster data - site assessments,,,,,
,,,,,,,,,,,,,PSRF oyster recruitment data Master File sheet,,,,,
,,,,,,,,,,,,,PSRF_OOR_RecruitmentData_2025,,,,,
,,,,,,,,,,,,,assessment_pathway_site_status_overview,,,,,
,,,,,,,,,,,,,PSRF Olympia oyster restoration acres tracker ,,,,,
