height_mm,sample_id
55,1066
55,1067
55,1068
55,1069
55,1070
55,1071
55,1072
55,1073
55,1074
55,1075
55,1076
55,1077
55,1078
55,1079
55,1080
55,1081
55,1082
55,1083
55,1084
55,1085
55,1086
55,1087
55,1088
55,1089
55,1090
55,1091
55,1092
55,1093
55,1094
55,1095
55,1096
55,1097
55,1098
55,1099
56,1100
56,1101
56,1102
56,1103
56,1104
56,1105
56,1106
56,1107
56,1108
56,1109
56,1110
56,1111
56,1112
56,1113
56,1114
56,1115
56,1116
56,1117
56,1118
56,1119
56,1120
56,1121
56,1122
56,1123
56,1124
56,1125
56,1126
56,1127
56,1128
56,1129
56,1130
56,1131
56,1132
56,1133
56,1134
56,1135
56,1136
56,1137
56,1138
56,1139
56,1140
56,1141
56,1142
57,1143
57,1144
57,1145
57,1146
57,1147
57,1148
57,1149
57,1150
57,1151
57,1152
57,1153
57,1154
57,1155
57,1156
57,1157
57,1158
57,1159
57,1160
57,1161
57,1162
57,1163
57,1164
58,1165
58,1166
58,1167
58,1168
58,1169
58,1170
58,1171
58,1172
58,1173
58,1174
58,1175
58,1176
58,1177
58,1178
58,1179
58,1180
58,1181
58,1182
58,1183
58,1184
58,1185
58,1186
58,1187
58,1188
59,1189
59,1190
59,1191
59,1192
59,1193
59,1194
59,1195
59,1196
59,1197
59,1198
59,1199
60,1200
60,1201
60,1202
60,1203
60,1204
60,1205
60,1206
60,1207
60,1208
60,1209
60,1210
60,1211
61,1212
61,1213
61,1214
61,1215
61,1216
61,1217
61,1218
61,1219
61,1220
61,1221
61,1222
61,1223
61,1224
61,1225
62,1226
62,1227
62,1228
62,1229
62,1230
62,1231
62,1232
62,1233
63,1234
63,1235
63,1236
63,1237
63,1238
64,1239
64,1240
64,1241
64,1242
65,1243
65,1244
65,1245
66,1246
68,1247
69,1248
70,1249
71,1250
71,1251
82,1252
